filename,name,link,description,rating,notes,peak_threshold,peak_size_threshold
ngc1850-blue,NGC 1850 Blue,https://www.flickr.com/photos/nasahubble/52515250436/in/album-72157698290709165/,nebula  + stars,Good,,,
,NGC 1850 Red,https://www.flickr.com/photos/nasahubble/52515824723/in/album-72157698290709165/,,,,,
,Liller 1,https://www.flickr.com/photos/nasahubble/52477626758/in/album-72157698290709165/,big and small stars,tough,"wide w big and small stars, no nebula",,
,NGC 4689,https://www.flickr.com/photos/nasahubble/53744157265/in/album-72157695205167691/,disk galaxy,,,,
,ACO S 295,https://www.flickr.com/photos/nasahubble/52715884015/in/album-72157677637064178/,galaxy cluster,,,,
,N44,https://www.flickr.com/photos/nasahubble/51636585444/in/album-72157661867344528/,nebula plus many stars,,,,
,NGC 4535,https://www.flickr.com/photos/nasahubble/52046519794/in/album-72177720306261738/,grand spiral,,,,
,M94,https://www.flickr.com/photos/nasahubble/28456307408/in/album-72177720306261738/,starburst galaxy,,,,
,C86,https://www.flickr.com/photos/nasahubble/49214155501/in/album-72177720306261738/,star cluster,,,,
,Monkey Head Nebula,https://www.flickr.com/photos/nasahubble/49577486232/in/album-72177720306261738/,nebula + stars,,,,
,Carina Nebula (Calwell 92),https://www.flickr.com/photos/nasahubble/49214213851/in/album-72157711794133741/,nebula + some stars,tough,wide,,
,Reef?,,red and blue nebulae,,,,